,action_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,game_date,matchup,opponent,shot_id,time_remaining
105,0,-193,42,0,3,0,4,48,19,0.0,1,0,1466,0,5,106,48
106,0,-166,55,0,3,0,4,21,17,0.0,1,0,1466,0,5,107,21
107,0,24,116,10,4,0,4,39,11,0.0,4,2,1466,0,5,108,639
108,0,-65,156,7,4,0,4,8,16,0.0,2,0,1466,0,5,109,428
109,8,-166,26,6,4,0,4,25,16,1.0,1,0,1466,0,5,110,385
110,0,-58,76,5,4,0,4,14,9,0.0,1,2,1466,0,5,111,314
111,0,-37,70,3,4,0,4,38,7,0.0,4,2,1466,0,5,112,218
113,0,-94,188,11,1,0,4,9,21,0.0,2,0,1470,1,4,114,669
114,4,0,0,10,1,0,4,17,0,0.0,4,1,1470,1,4,115,617
115,5,0,0,9,1,0,4,23,0,0.0,4,1,1470,1,4,116,563
116,9,0,0,9,1,0,4,21,0,0.0,4,1,1470,1,4,117,561
117,7,0,0,3,1,0,4,2,0,1.0,4,1,1470,1,4,118,182
118,4,0,0,0,1,0,4,44,0,1.0,4,1,1470,1,4,119,44
119,0,85,141,0,1,0,4,21,16,0.0,3,0,1470,1,4,120,21
120,0,-88,158,8,2,0,4,50,18,1.0,2,0,1470,1,4,121,530
121,1,0,0,8,2,0,4,18,0,1.0,4,1,1470,1,4,122,498
123,10,0,0,0,2,0,4,30,0,1.0,4,1,1470,1,4,124,30
124,0,1,276,0,2,0,4,4,27,1.0,4,3,1470,1,4,125,4
126,0,155,-8,8,3,0,4,38,15,1.0,0,0,1470,1,4,127,518
127,0,-155,13,5,3,0,4,18,15,1.0,1,0,1470,1,4,128,318
128,0,-84,133,4,3,0,4,34,15,0.0,1,0,1470,1,4,129,274
129,0,-178,-8,3,3,0,4,51,17,0.0,1,0,1470,1,4,130,231
130,0,16,89,3,3,0,4,40,9,0.0,4,2,1470,1,4,131,220
131,0,-48,106,3,3,0,4,33,11,1.0,4,2,1470,1,4,132,213
133,0,-170,13,2,3,0,4,5,17,0.0,1,0,1470,1,4,134,125
134,0,-119,133,0,3,0,4,14,17,0.0,2,0,1470,1,4,135,14
135,0,9,40,10,4,0,4,52,4,0.0,4,2,1470,1,4,136,652
136,0,-84,82,6,4,0,4,34,11,0.0,1,0,1470,1,4,137,394
137,0,9,59,4,4,0,4,57,5,0.0,4,2,1470,1,4,138,297
138,1,0,0,3,4,0,4,28,0,1.0,4,1,1470,1,4,139,208
139,3,9,59,1,4,0,4,38,5,1.0,4,2,1470,1,4,140,98
141,9,0,0,1,4,0,4,3,0,0.0,4,1,1470,1,4,142,63
142,4,0,0,7,1,0,4,43,0,0.0,4,1,1472,1,6,143,463
144,11,0,0,3,1,0,4,8,0,1.0,4,1,1472,1,6,145,188
145,0,129,-4,2,1,0,4,25,12,1.0,0,0,1472,1,6,146,145
146,0,-98,97,0,1,0,4,48,13,1.0,1,0,1472,1,6,147,48
147,0,167,78,11,2,0,4,16,18,0.0,0,0,1472,1,6,148,676
148,0,108,249,10,2,0,4,19,27,0.0,3,3,1472,1,6,149,619
150,3,100,175,9,2,0,4,7,20,1.0,3,0,1472,1,6,151,547
153,2,0,0,1,2,0,4,54,0,0.0,4,1,1472,1,6,154,114
154,4,0,0,0,2,0,4,28,0,0.0,4,1,1472,1,6,155,28
156,0,115,169,10,3,0,4,23,20,0.0,3,0,1472,1,6,157,623
157,0,1,72,5,3,0,4,23,7,0.0,4,2,1472,1,6,158,323
159,1,0,0,0,3,0,4,37,0,1.0,4,1,1472,1,6,160,37
160,0,113,230,11,4,0,4,43,25,1.0,3,3,1472,1,6,161,703
161,2,0,0,10,4,0,4,28,0,1.0,4,1,1472,1,6,162,628
162,7,0,0,10,4,0,4,11,0,1.0,4,1,1472,1,6,163,611
163,2,0,0,5,4,0,4,37,0,0.0,4,1,1472,1,6,164,337
165,0,98,194,11,1,0,4,42,21,1.0,3,0,1474,0,7,166,702
166,0,-117,184,11,1,0,4,7,21,0.0,2,0,1474,0,7,167,667
167,0,-168,-2,8,1,0,4,53,16,0.0,1,0,1474,0,7,168,533
168,0,70,36,8,1,0,4,16,7,0.0,4,2,1474,0,7,169,496
169,4,0,0,7,1,0,4,43,0,0.0,4,1,1474,0,7,170,463
170,0,-37,42,2,1,0,4,47,5,1.0,4,2,1474,0,7,171,167
172,0,163,116,1,1,0,4,5,20,0.0,0,0,1474,0,7,173,65
173,0,113,179,8,2,0,4,13,21,1.0,3,0,1474,0,7,174,493
174,0,169,-2,6,2,0,4,27,16,1.0,0,0,1474,0,7,175,387
175,0,91,156,0,2,0,4,52,18,0.0,3,0,1474,0,7,176,52
176,0,134,93,0,2,0,4,19,16,0.0,0,0,1474,0,7,177,19
177,0,47,477,0,2,0,4,0,47,0.0,5,5,1474,0,7,178,0
178,0,11,137,8,3,0,4,52,13,0.0,4,2,1474,0,7,179,532
179,0,199,13,2,3,0,4,55,19,0.0,0,0,1474,0,7,180,175
180,0,77,236,0,3,0,4,1,24,0.0,3,3,1474,0,7,181,1
182,0,11,247,9,4,0,4,18,24,0.0,4,3,1474,0,7,183,558
183,0,-103,230,5,4,0,4,43,25,0.0,2,3,1474,0,7,184,343
184,0,-31,247,0,4,0,4,2,24,1.0,4,3,1474,0,7,185,2
185,0,-10,99,2,5,0,4,5,9,1.0,4,2,1474,0,7,186,125
186,0,13,100,2,5,0,4,7,10,0.0,4,2,1474,0,7,187,127
187,0,-73,200,0,5,0,4,24,21,1.0,2,0,1474,0,7,188,24
188,0,-77,184,10,1,0,4,5,19,1.0,2,0,1476,0,6,189,605
189,0,188,177,9,1,0,4,7,25,0.0,3,3,1476,0,6,190,547
190,4,0,0,8,1,0,4,15,0,0.0,4,1,1476,0,6,191,495
193,0,-128,137,4,1,0,4,22,18,0.0,2,0,1476,0,6,194,262
194,11,0,0,4,1,0,4,9,0,1.0,4,1,1476,0,6,195,249
196,0,1,93,11,2,0,4,19,9,0.0,4,2,1476,0,6,197,679
197,0,115,160,6,2,0,4,51,19,1.0,3,0,1476,0,6,198,411
198,0,159,200,6,2,0,4,11,25,1.0,3,3,1476,0,6,199,371
199,0,167,0,0,2,0,4,21,16,0.0,0,0,1476,0,6,200,21
200,0,-162,245,11,3,0,4,17,29,0.0,2,3,1476,0,6,201,677
202,0,167,-6,8,3,0,4,35,16,0.0,0,0,1476,0,6,203,515
203,0,-4,150,6,3,0,4,24,15,1.0,4,0,1476,0,6,204,384
204,0,-185,9,5,3,0,4,1,18,1.0,1,0,1476,0,6,205,301
205,0,237,19,3,3,0,4,21,23,1.0,0,4,1476,0,6,206,201
206,0,-229,19,0,3,0,4,47,22,1.0,1,6,1476,0,6,207,47
207,4,0,0,11,4,0,4,10,0,0.0,4,1,1476,0,6,208,670
208,6,0,0,7,4,0,4,10,0,1.0,4,1,1476,0,6,209,430
211,0,37,82,1,4,0,4,18,8,1.0,4,2,1476,0,6,212,78
212,0,-42,87,0,4,0,4,46,9,0.0,4,2,1476,0,6,213,46
213,0,28,247,9,1,0,4,3,24,0.0,4,3,1477,1,8,214,543
214,0,7,97,6,1,0,4,10,9,0.0,4,2,1477,1,8,215,370
215,7,0,0,3,1,0,4,10,0,1.0,4,1,1477,1,8,216,190
216,2,0,0,0,1,0,4,13,0,0.0,4,1,1477,1,8,217,13
217,7,0,0,7,2,0,4,24,0,1.0,4,1,1477,1,8,218,444
218,0,115,135,6,2,0,4,3,17,0.0,3,0,1477,1,8,219,363
219,0,142,184,0,2,0,4,44,23,0.0,3,0,1477,1,8,220,44
220,7,0,0,11,3,0,4,24,0,1.0,4,1,1477,1,8,221,684
221,2,0,0,10,3,0,4,19,0,1.0,4,1,1477,1,8,222,619
222,0,79,163,9,3,0,4,45,18,0.0,3,0,1477,1,8,223,585
223,0,142,141,7,3,0,4,22,20,1.0,3,0,1477,1,8,224,442
224,0,30,125,6,3,0,4,43,12,0.0,4,2,1477,1,8,225,403
225,3,-60,97,4,3,0,4,55,11,1.0,1,2,1477,1,8,226,295
226,4,0,0,1,3,0,4,34,0,0.0,4,1,1477,1,8,227,94
228,0,115,245,11,4,0,4,13,27,0.0,3,3,1477,1,8,229,673
229,0,-132,184,10,4,0,4,52,22,0.0,2,0,1477,1,8,230,652
230,4,0,0,10,4,0,4,12,0,0.0,4,1,1477,1,8,231,612
231,2,0,0,10,4,0,4,8,0,0.0,4,1,1477,1,8,232,608
232,3,-25,76,2,4,0,4,20,8,1.0,4,2,1477,1,8,233,140
233,0,-145,108,1,4,0,4,37,18,0.0,2,0,1477,1,8,234,97
234,0,-208,-29,0,4,0,4,31,21,0.0,1,0,1477,1,8,235,31
235,0,-105,148,10,1,0,4,5,18,1.0,2,0,1480,1,9,236,605
236,0,-48,175,8,1,0,4,0,18,0.0,4,0,1480,1,9,237,480
237,0,-77,247,4,1,0,4,58,25,0.0,4,3,1480,1,9,238,298
238,4,0,0,2,1,0,4,36,0,1.0,4,1,1480,1,9,239,156
239,2,0,0,2,1,0,4,20,0,0.0,4,1,1480,1,9,240,140
240,7,0,0,2,1,0,4,8,0,1.0,4,1,1480,1,9,241,128
241,0,142,226,1,1,0,4,43,26,1.0,3,3,1480,1,9,242,103
242,11,0,0,10,2,0,4,17,0,1.0,4,1,1480,1,9,243,617
243,0,-63,171,9,2,0,4,16,18,1.0,2,0,1480,1,9,244,556
244,11,0,0,3,2,0,4,34,0,1.0,4,1,1480,1,9,245,214
245,0,64,175,2,2,0,4,30,18,1.0,3,0,1480,1,9,246,150
246,1,0,0,9,3,0,4,52,0,1.0,4,1,1480,1,9,247,592
247,4,0,0,9,3,0,4,12,0,1.0,4,1,1480,1,9,248,552
248,0,115,236,6,3,0,4,31,26,1.0,3,3,1480,1,9,249,391
249,12,0,0,6,3,0,4,9,0,0.0,4,1,1480,1,9,250,369
250,8,163,7,5,3,0,4,20,16,0.0,0,0,1480,1,9,251,320
251,2,0,0,2,3,0,4,6,0,0.0,4,1,1480,1,9,252,126
252,4,0,0,2,3,0,4,0,0,1.0,4,1,1480,1,9,253,120
253,2,0,0,1,3,0,4,26,0,1.0,4,1,1480,1,9,254,86
254,0,64,40,10,1,0,4,33,7,0.0,4,2,1482,1,10,255,633
255,3,-105,-2,7,1,0,4,33,10,1.0,1,0,1482,1,10,256,453
257,5,0,0,5,1,0,4,52,0,1.0,4,1,1482,1,10,258,352
258,0,64,95,3,1,0,4,56,11,1.0,0,2,1482,1,10,259,236
260,0,-132,2,1,1,0,4,4,13,1.0,1,0,1482,1,10,261,64
261,0,73,17,10,3,0,4,53,7,0.0,4,2,1482,1,10,262,653
262,12,0,0,9,3,0,4,45,0,1.0,4,1,1482,1,10,263,585
264,0,-132,154,6,3,0,4,24,20,0.0,2,0,1482,1,10,265,384
265,2,0,0,5,3,0,4,58,0,1.0,4,1,1482,1,10,266,358
267,0,235,23,2,3,0,4,42,23,0.0,0,4,1482,1,10,268,162
268,0,28,175,0,3,0,4,21,17,1.0,4,0,1482,1,10,269,21
269,0,184,171,11,4,0,4,38,25,1.0,3,3,1482,1,10,270,698
270,3,127,61,9,4,0,4,50,14,0.0,0,0,1482,1,10,271,590
271,8,28,89,9,4,0,4,36,9,1.0,4,2,1482,1,10,272,576
272,0,-84,213,7,4,0,4,30,22,1.0,2,0,1482,1,10,273,450
273,3,-119,144,5,4,0,4,24,18,1.0,2,0,1482,1,10,274,324
274,3,0,110,10,1,0,4,25,11,0.0,4,2,1485,0,3,275,625
275,4,0,0,7,1,0,4,14,0,1.0,4,1,1485,0,3,276,434
276,0,127,80,6,1,0,4,17,15,0.0,0,0,1485,0,3,277,377
277,0,-143,219,5,1,0,4,44,26,1.0,2,3,1485,0,3,278,344
279,0,77,141,7,2,0,4,18,16,1.0,3,0,1485,0,3,280,438
280,3,-6,70,6,2,0,4,35,7,1.0,4,2,1485,0,3,281,395
282,4,0,0,2,2,0,4,8,0,1.0,4,1,1485,0,3,283,128
283,2,0,0,1,2,0,4,39,0,1.0,4,1,1485,0,3,284,99
284,0,144,215,0,2,0,4,36,25,1.0,3,3,1485,0,3,285,36
285,0,-63,177,11,3,0,4,24,18,0.0,2,0,1485,0,3,286,684
286,0,100,259,7,3,0,4,20,27,0.0,3,3,1485,0,3,287,440
287,8,-48,78,4,3,0,4,53,9,1.0,1,2,1485,0,3,288,293
288,0,153,198,3,3,0,4,42,25,0.0,3,3,1485,0,3,289,222
289,13,-56,21,2,3,0,4,15,5,1.0,4,2,1485,0,3,290,135
290,4,0,0,0,3,0,4,54,0,0.0,4,1,1485,0,3,291,54
291,0,201,11,11,4,0,4,7,20,1.0,0,0,1485,0,3,292,667
293,0,243,34,9,1,0,4,42,24,1.0,0,4,1486,1,11,294,582
294,0,123,232,5,1,0,4,0,26,1.0,3,3,1486,1,11,295,300
295,0,-157,137,3,1,0,4,30,20,1.0,2,0,1486,1,11,296,210
296,0,138,110,11,2,0,4,8,17,0.0,3,0,1486,1,11,297,668
297,0,102,137,8,2,0,4,40,17,0.0,3,0,1486,1,11,298,520
301,0,186,17,3,2,0,4,47,18,0.0,0,0,1486,1,11,302,227
302,4,0,0,2,2,0,4,54,0,1.0,4,1,1486,1,11,303,174
303,7,0,0,8,3,0,4,22,0,1.0,4,1,1486,1,11,304,502
304,0,142,245,7,3,0,4,22,28,0.0,3,3,1486,1,11,305,442
305,0,-33,70,6,3,0,4,52,7,0.0,4,2,1486,1,11,306,412
306,0,-12,42,6,3,0,4,48,4,0.0,4,2,1486,1,11,307,408
307,0,121,104,4,3,0,4,58,15,0.0,0,0,1486,1,11,308,298
308,4,0,0,4,3,0,4,3,0,1.0,4,1,1486,1,11,309,243
309,0,79,163,3,3,0,4,18,18,0.0,3,0,1486,1,11,310,198
310,0,-94,0,2,3,0,4,57,9,0.0,1,0,1486,1,11,311,177
311,3,-124,135,2,3,0,4,19,18,1.0,2,0,1486,1,11,312,139
312,14,0,0,1,3,0,4,15,0,0.0,4,1,1486,1,11,313,75
313,0,108,409,0,3,0,4,0,42,0.0,5,3,1486,1,11,314,0
314,0,-67,135,10,4,0,4,32,15,0.0,4,2,1486,1,11,315,632
315,0,-160,224,10,4,0,4,6,27,1.0,2,3,1486,1,11,316,606
317,0,-134,9,10,1,0,4,59,13,1.0,1,0,1488,0,12,318,659
318,0,-122,15,8,1,0,4,37,12,0.0,1,0,1488,0,12,319,517
319,0,-101,116,7,1,0,4,10,15,0.0,1,0,1488,0,12,320,430
320,3,-29,19,0,1,0,4,48,3,1.0,4,1,1488,0,12,321,48
321,0,-50,245,0,1,0,4,24,25,0.0,4,3,1488,0,12,322,24
322,0,-150,466,0,1,0,4,0,48,0.0,5,5,1488,0,12,323,0
323,2,-29,13,11,2,0,4,48,3,0.0,4,1,1488,0,12,324,708
324,0,-35,19,9,2,0,4,0,3,0.0,4,1,1488,0,12,325,540
325,0,-35,19,1,2,0,4,54,3,0.0,4,1,1488,0,12,326,114
328,7,0,0,9,3,0,4,37,0,1.0,4,1,1488,0,12,329,577
329,0,167,207,9,3,0,4,6,26,0.0,3,3,1488,0,12,330,546
330,7,0,0,7,3,0,4,2,0,1.0,4,1,1488,0,12,331,422
331,0,60,177,3,3,0,4,45,18,1.0,3,0,1488,0,12,332,225
332,4,0,0,1,3,0,4,28,0,1.0,4,1,1488,0,12,333,88
333,0,-86,253,9,1,0,4,34,26,0.0,2,3,1489,1,5,334,574
335,0,172,68,7,1,0,4,28,18,1.0,0,0,1489,1,5,336,448
336,0,-50,28,6,1,0,4,35,5,0.0,4,2,1489,1,5,337,395
337,0,-86,165,5,1,0,4,30,18,1.0,2,0,1489,1,5,338,330
338,0,-79,28,4,1,0,4,50,8,0.0,1,2,1489,1,5,339,290
339,1,0,0,4,1,0,4,4,0,1.0,4,1,1489,1,5,340,244
340,0,18,144,2,1,0,4,33,14,0.0,4,0,1489,1,5,341,153
341,0,123,55,2,1,0,4,0,13,0.0,0,0,1489,1,5,342,120
342,4,0,0,0,1,0,4,7,0,0.0,4,1,1489,1,5,343,7
343,0,-170,-15,4,2,0,4,40,17,0.0,1,0,1489,1,5,344,280
344,3,159,116,4,2,0,4,14,19,1.0,3,0,1489,1,5,345,254
346,0,32,148,11,3,0,4,35,15,1.0,4,0,1489,1,5,347,695
348,0,5,198,9,3,0,4,10,19,0.0,4,0,1489,1,5,349,550
349,0,-149,247,6,3,0,4,27,28,0.0,2,3,1489,1,5,350,387
350,4,0,0,5,3,0,4,59,0,1.0,4,1,1489,1,5,351,359
351,0,-79,133,4,3,0,4,41,15,1.0,1,2,1489,1,5,352,281
352,0,-23,40,3,3,0,4,8,4,0.0,4,2,1489,1,5,353,188
353,0,66,154,0,3,0,4,37,16,1.0,3,0,1489,1,5,354,37
354,0,-86,257,0,3,0,4,0,27,1.0,2,3,1489,1,5,355,0
355,0,75,198,11,4,0,4,42,21,0.0,3,0,1489,1,5,356,702
356,7,0,0,11,4,0,4,0,0,1.0,4,1,1489,1,5,357,660
357,0,-58,68,9,4,0,4,42,8,1.0,1,2,1489,1,5,358,582
358,0,60,61,9,4,0,4,7,8,1.0,0,2,1489,1,5,359,547
359,0,117,253,7,4,0,4,34,27,1.0,3,3,1489,1,5,360,454
360,0,-50,17,6,4,0,4,49,5,0.0,4,2,1489,1,5,361,409
361,7,0,0,6,4,0,4,38,0,1.0,4,1,1489,1,5,362,398
362,0,18,209,4,4,0,4,0,20,0.0,4,0,1489,1,5,363,240
363,0,-136,160,0,4,0,4,51,20,1.0,2,0,1489,1,5,364,51
365,0,60,127,10,1,0,4,26,14,1.0,4,2,1491,1,13,366,626
366,3,87,133,9,1,0,4,11,15,0.0,0,0,1491,1,13,367,551
367,3,39,82,8,1,0,4,34,9,1.0,4,2,1491,1,13,368,514
368,0,-149,2,6,1,0,4,46,14,0.0,1,0,1491,1,13,369,406
369,0,110,243,5,1,0,4,26,26,1.0,3,3,1491,1,13,370,326
370,0,110,13,1,1,0,4,29,11,1.0,0,0,1491,1,13,371,89
371,0,11,82,8,2,0,4,57,8,0.0,4,2,1491,1,13,372,537
372,0,-16,55,8,2,0,4,53,5,0.0,4,2,1491,1,13,373,533
373,0,237,2,8,2,0,4,48,23,0.0,0,4,1491,1,13,374,528
374,0,11,198,5,2,0,4,18,19,0.0,4,0,1491,1,13,375,318
375,0,-185,127,1,2,0,4,49,22,1.0,1,0,1491,1,13,376,109
376,1,0,0,1,2,0,4,10,0,0.0,4,1,1491,1,13,377,70
377,0,11,89,0,2,0,4,25,8,1.0,4,2,1491,1,13,378,25
378,0,18,160,0,2,0,4,0,16,0.0,4,0,1491,1,13,379,0
379,7,0,0,10,3,0,4,32,0,1.0,4,1,1491,1,13,380,632
380,0,-98,285,6,3,0,4,17,30,0.0,2,3,1491,1,13,381,377
381,0,-157,45,5,3,0,4,12,16,1.0,1,0,1491,1,13,382,312
382,0,-92,186,4,3,0,4,5,20,1.0,2,0,1491,1,13,383,245
383,0,-149,28,3,3,0,4,25,15,0.0,1,0,1491,1,13,384,205
384,3,75,28,3,3,0,4,3,8,1.0,0,2,1491,1,13,385,183
385,0,138,13,0,3,0,4,17,13,0.0,0,0,1491,1,13,386,17
386,9,0,0,0,3,0,4,0,0,1.0,4,1,1491,1,13,387,0
387,4,0,0,8,4,0,4,35,0,1.0,4,1,1491,1,13,388,515
388,3,-115,110,7,4,0,4,31,15,1.0,1,0,1491,1,13,389,451
392,7,0,0,9,1,0,4,57,0,1.0,4,1,1493,1,14,393,597
393,3,-65,165,7,1,0,4,27,17,1.0,2,0,1493,1,14,394,447
394,3,81,133,6,1,0,4,48,15,1.0,0,0,1493,1,14,395,408
395,0,138,110,3,1,0,4,33,17,0.0,3,0,1493,1,14,396,213
397,0,231,394,0,1,0,4,0,45,0.0,3,3,1493,1,14,398,0
398,0,5,205,11,2,0,4,21,20,0.0,4,0,1493,1,14,399,681
399,0,-44,148,10,2,0,4,41,15,0.0,4,0,1493,1,14,400,641
400,4,18,23,9,2,0,4,26,2,1.0,4,1,1493,1,14,401,566
401,0,123,89,8,2,0,4,6,15,1.0,0,0,1493,1,14,402,486
402,0,-92,127,5,2,0,4,48,15,0.0,1,0,1493,1,14,403,348
403,4,0,0,5,2,0,4,23,0,1.0,4,1,1493,1,14,404,323
404,0,32,257,3,2,0,4,40,25,0.0,4,3,1493,1,14,405,220
405,0,33,78,2,2,0,4,34,8,0.0,4,2,1493,1,14,406,154
406,0,-212,64,0,2,0,4,0,22,0.0,1,0,1493,1,14,407,0
407,0,123,148,9,3,0,4,27,19,0.0,3,0,1493,1,14,408,567
408,2,0,0,9,3,0,4,21,0,0.0,4,1,1493,1,14,409,561
409,0,-122,137,6,3,0,4,36,18,1.0,2,0,1493,1,14,410,396
410,3,123,-15,4,3,0,4,46,12,1.0,0,0,1493,1,14,411,286
411,0,-149,-15,4,3,0,4,16,14,1.0,1,0,1493,1,14,412,256
412,0,237,40,11,4,0,4,26,24,1.0,0,4,1493,1,14,413,686
413,0,-1,160,10,4,0,4,13,16,0.0,4,0,1493,1,14,414,613
