action_type,loc_x,loc_y,period,playoffs,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,opponent,season,matchup,time_remaining,game_date
0,-10,91,4,0,9,,4,2,3,4,1,613,1463
0,-119,36,1,0,12,,1,0,4,4,0,546,1465
0,231,57,1,0,23,0.0,0,4,4,4,0,497,1465
4,0,0,1,0,0,1.0,4,1,4,4,0,473,1465
1,0,0,1,0,0,1.0,4,1,4,4,0,421,1465
0,159,110,1,0,19,,0,0,4,4,0,315,1465
0,7,257,1,0,25,1.0,4,3,4,4,0,191,1465
4,0,0,2,0,0,1.0,4,1,4,4,0,476,1465
0,51,57,2,0,7,0.0,4,2,4,4,0,160,1465
0,167,190,2,0,25,0.0,3,3,4,4,0,10,1465
0,-119,190,3,0,22,1.0,2,0,4,4,0,662,1465
0,16,57,3,0,5,0.0,4,2,4,4,0,550,1465
0,-84,110,3,0,13,0.0,1,0,4,4,0,444,1465
0,-71,42,3,0,8,0.0,1,2,4,4,0,1,1465
0,58,47,4,0,7,,4,2,4,4,0,709,1465
0,30,133,4,0,13,1.0,4,2,4,4,0,301,1465
0,1,156,4,0,15,0.0,4,0,4,4,0,46,1465
0,132,211,1,0,24,0.0,3,3,5,4,0,701,1466
7,-8,4,1,0,0,0.0,4,1,5,4,0,659,1466
0,-29,70,1,0,7,,4,2,5,4,0,588,1466
8,-124,49,1,0,13,,1,0,5,4,0,446,1466
0,132,127,1,0,18,1.0,3,0,5,4,0,396,1466
0,-29,188,1,0,19,1.0,4,0,5,4,0,354,1466
0,140,76,1,0,15,1.0,0,0,5,4,0,144,1466
8,140,0,1,0,14,1.0,0,0,5,4,0,108,1466
0,-1,156,1,0,15,1.0,4,0,5,4,0,85,1466
0,-151,4,1,0,15,1.0,1,0,5,4,0,47,1466
0,110,76,2,0,13,0.0,0,0,5,4,0,657,1466
0,132,87,2,0,15,0.0,0,0,5,4,0,577,1466
8,132,4,2,0,13,,0,0,5,4,0,265,1466
0,-58,251,2,0,25,1.0,4,3,5,4,0,230,1466
0,-94,160,2,0,18,1.0,2,0,5,4,0,195,1466
0,-193,150,2,0,24,0.0,2,3,5,4,0,53,1466
0,140,0,2,0,14,1.0,0,0,5,4,0,48,1466
0,39,9,3,0,4,0.0,4,2,5,4,0,686,1466
0,24,150,3,0,15,0.0,4,0,5,4,0,560,1466
7,-1,0,3,0,0,1.0,4,1,5,4,0,473,1466
0,119,133,3,0,17,1.0,3,0,5,4,0,400,1466
0,-101,137,3,0,17,,2,0,5,4,0,256,1466
0,119,19,3,0,12,0.0,0,0,5,4,0,180,1466
0,-193,42,3,0,19,0.0,1,0,5,4,0,48,1466
0,-166,55,3,0,17,0.0,1,0,5,4,0,21,1466
0,24,116,4,0,11,0.0,4,2,5,4,0,639,1466
0,-65,156,4,0,16,0.0,2,0,5,4,0,428,1466
8,-166,26,4,0,16,1.0,1,0,5,4,0,385,1466
0,-58,76,4,0,9,0.0,1,2,5,4,0,314,1466
0,-37,70,4,0,7,0.0,4,2,5,4,0,218,1466
0,-151,150,4,0,21,,2,0,5,4,0,43,1466
0,-94,188,1,0,21,0.0,2,0,4,4,1,669,1470
4,0,0,1,0,0,0.0,4,1,4,4,1,617,1470
5,0,0,1,0,0,0.0,4,1,4,4,1,563,1470
9,0,0,1,0,0,0.0,4,1,4,4,1,561,1470
7,0,0,1,0,0,1.0,4,1,4,4,1,182,1470
4,0,0,1,0,0,1.0,4,1,4,4,1,44,1470
0,85,141,1,0,16,0.0,3,0,4,4,1,21,1470
0,-88,158,2,0,18,1.0,2,0,4,4,1,530,1470
1,0,0,2,0,0,1.0,4,1,4,4,1,498,1470
0,-155,53,2,0,16,,1,0,4,4,1,160,1470
10,0,0,2,0,0,1.0,4,1,4,4,1,30,1470
0,1,276,2,0,27,1.0,4,3,4,4,1,4,1470
3,-96,133,3,0,16,,2,0,4,4,1,599,1470
0,155,-8,3,0,15,1.0,0,0,4,4,1,518,1470
0,-155,13,3,0,15,1.0,1,0,4,4,1,318,1470
0,-84,133,3,0,15,0.0,1,0,4,4,1,274,1470
0,-178,-8,3,0,17,0.0,1,0,4,4,1,231,1470
0,16,89,3,0,9,0.0,4,2,4,4,1,220,1470
0,-48,106,3,0,11,1.0,4,2,4,4,1,213,1470
5,0,0,3,0,0,,4,1,4,4,1,176,1470
0,-170,13,3,0,17,0.0,1,0,4,4,1,125,1470
0,-119,133,3,0,17,0.0,2,0,4,4,1,14,1470
0,9,40,4,0,4,0.0,4,2,4,4,1,652,1470
0,-84,82,4,0,11,0.0,1,0,4,4,1,394,1470
0,9,59,4,0,5,0.0,4,2,4,4,1,297,1470
1,0,0,4,0,0,1.0,4,1,4,4,1,208,1470
3,9,59,4,0,5,1.0,4,2,4,4,1,98,1470
0,45,36,4,0,5,,4,2,4,4,1,65,1470
9,0,0,4,0,0,0.0,4,1,4,4,1,63,1470
4,0,0,1,0,0,0.0,4,1,6,4,1,463,1472
0,237,11,1,0,23,,0,4,6,4,1,292,1472
11,0,0,1,0,0,1.0,4,1,6,4,1,188,1472
0,129,-4,1,0,12,1.0,0,0,6,4,1,145,1472
0,-98,97,1,0,13,1.0,1,0,6,4,1,48,1472
0,167,78,2,0,18,0.0,0,0,6,4,1,676,1472
0,108,249,2,0,27,0.0,3,3,6,4,1,619,1472
4,0,0,2,0,0,,4,1,6,4,1,605,1472
3,100,175,2,0,20,1.0,3,0,6,4,1,547,1472
0,7,169,2,0,16,,4,0,6,4,1,254,1472
4,0,0,2,0,0,,4,1,6,4,1,202,1472
2,0,0,2,0,0,0.0,4,1,6,4,1,114,1472
4,0,0,2,0,0,0.0,4,1,6,4,1,28,1472
9,0,0,2,0,0,,4,1,6,4,1,26,1472
0,115,169,3,0,20,0.0,3,0,6,4,1,623,1472
0,1,72,3,0,7,0.0,4,2,6,4,1,323,1472
6,0,0,3,0,0,,4,1,6,4,1,233,1472
1,0,0,3,0,0,1.0,4,1,6,4,1,37,1472
0,113,230,4,0,25,1.0,3,3,6,4,1,703,1472
2,0,0,4,0,0,1.0,4,1,6,4,1,628,1472
7,0,0,4,0,0,1.0,4,1,6,4,1,611,1472
2,0,0,4,0,0,0.0,4,1,6,4,1,337,1472
12,0,0,4,0,0,,4,1,6,4,1,332,1472
0,98,194,1,0,21,1.0,3,0,7,4,0,702,1474
0,-117,184,1,0,21,0.0,2,0,7,4,0,667,1474
0,-168,-2,1,0,16,0.0,1,0,7,4,0,533,1474
0,70,36,1,0,7,0.0,4,2,7,4,0,496,1474
4,0,0,1,0,0,0.0,4,1,7,4,0,463,1474
0,-37,42,1,0,5,1.0,4,2,7,4,0,167,1474
0,70,194,1,0,20,,3,0,7,4,0,96,1474
0,163,116,1,0,20,0.0,0,0,7,4,0,65,1474
0,113,179,2,0,21,1.0,3,0,7,4,0,493,1474
0,169,-2,2,0,16,1.0,0,0,7,4,0,387,1474
0,91,156,2,0,18,0.0,3,0,7,4,0,52,1474
0,134,93,2,0,16,0.0,0,0,7,4,0,19,1474
0,47,477,2,0,47,0.0,5,5,7,4,0,0,1474
0,11,137,3,0,13,0.0,4,2,7,4,0,532,1474
0,199,13,3,0,19,0.0,0,0,7,4,0,175,1474
0,77,236,3,0,24,0.0,3,3,7,4,0,1,1474
11,0,0,4,0,0,,4,1,7,4,0,704,1474
0,11,247,4,0,24,0.0,4,3,7,4,0,558,1474
0,-103,230,4,0,25,0.0,2,3,7,4,0,343,1474
0,-31,247,4,0,24,1.0,4,3,7,4,0,2,1474
0,-10,99,5,0,9,1.0,4,2,7,4,0,125,1474
0,13,100,5,0,10,0.0,4,2,7,4,0,127,1474
0,-73,200,5,0,21,1.0,2,0,7,4,0,24,1474
0,-77,184,1,0,19,1.0,2,0,6,4,0,605,1476
0,188,177,1,0,25,0.0,3,3,6,4,0,547,1476
4,0,0,1,0,0,0.0,4,1,6,4,0,495,1476
0,174,-6,1,0,17,,0,0,6,4,0,384,1476
4,0,0,1,0,0,,4,1,6,4,0,362,1476
0,-128,137,1,0,18,0.0,2,0,6,4,0,262,1476
11,0,0,1,0,0,1.0,4,1,6,4,0,249,1476
0,153,4,1,0,15,,0,0,6,4,0,18,1476
0,1,93,2,0,9,0.0,4,2,6,4,0,679,1476
0,115,160,2,0,19,1.0,3,0,6,4,0,411,1476
0,159,200,2,0,25,1.0,3,3,6,4,0,371,1476
0,167,0,2,0,16,0.0,0,0,6,4,0,21,1476
0,-162,245,3,0,29,0.0,2,3,6,4,0,677,1476
0,-162,66,3,0,17,,1,0,6,4,0,605,1476
0,167,-6,3,0,16,0.0,0,0,6,4,0,515,1476
0,-4,150,3,0,15,1.0,4,0,6,4,0,384,1476
0,-185,9,3,0,18,1.0,1,0,6,4,0,301,1476
0,237,19,3,0,23,1.0,0,4,6,4,0,201,1476
0,-229,19,3,0,22,1.0,1,6,6,4,0,47,1476
4,0,0,4,0,0,0.0,4,1,6,4,0,670,1476
6,0,0,4,0,0,1.0,4,1,6,4,0,430,1476
0,-214,156,4,0,26,,2,3,6,4,0,319,1476
0,-149,137,4,0,20,,2,0,6,4,0,218,1476
0,37,82,4,0,8,1.0,4,2,6,4,0,78,1476
0,-42,87,4,0,9,0.0,4,2,6,4,0,46,1476
0,28,247,1,0,24,0.0,4,3,8,4,1,543,1477
0,7,97,1,0,9,0.0,4,2,8,4,1,370,1477
7,0,0,1,0,0,1.0,4,1,8,4,1,190,1477
2,0,0,1,0,0,0.0,4,1,8,4,1,13,1477
7,0,0,2,0,0,1.0,4,1,8,4,1,444,1477
0,115,135,2,0,17,0.0,3,0,8,4,1,363,1477
0,142,184,2,0,23,0.0,3,0,8,4,1,44,1477
7,0,0,3,0,0,1.0,4,1,8,4,1,684,1477
2,0,0,3,0,0,1.0,4,1,8,4,1,619,1477
0,79,163,3,0,18,0.0,3,0,8,4,1,585,1477
0,142,141,3,0,20,1.0,3,0,8,4,1,442,1477
0,30,125,3,0,12,0.0,4,2,8,4,1,403,1477
3,-60,97,3,0,11,1.0,1,2,8,4,1,295,1477
4,0,0,3,0,0,0.0,4,1,8,4,1,94,1477
1,0,0,3,0,0,,4,1,8,4,1,4,1477
0,115,245,4,0,27,0.0,3,3,8,4,1,673,1477
0,-132,184,4,0,22,0.0,2,0,8,4,1,652,1477
4,0,0,4,0,0,0.0,4,1,8,4,1,612,1477
2,0,0,4,0,0,0.0,4,1,8,4,1,608,1477
3,-25,76,4,0,8,1.0,4,2,8,4,1,140,1477
0,-145,108,4,0,18,0.0,2,0,8,4,1,97,1477
0,-208,-29,4,0,21,0.0,1,0,8,4,1,31,1477
0,-105,148,1,0,18,1.0,2,0,9,4,1,605,1480
0,-48,175,1,0,18,0.0,4,0,9,4,1,480,1480
0,-77,247,1,0,25,0.0,4,3,9,4,1,298,1480
4,0,0,1,0,0,1.0,4,1,9,4,1,156,1480
2,0,0,1,0,0,0.0,4,1,9,4,1,140,1480
7,0,0,1,0,0,1.0,4,1,9,4,1,128,1480
0,142,226,1,0,26,1.0,3,3,9,4,1,103,1480
11,0,0,2,0,0,1.0,4,1,9,4,1,617,1480
0,-63,171,2,0,18,1.0,2,0,9,4,1,556,1480
11,0,0,2,0,0,1.0,4,1,9,4,1,214,1480
0,64,175,2,0,18,1.0,3,0,9,4,1,150,1480
1,0,0,3,0,0,1.0,4,1,9,4,1,592,1480
4,0,0,3,0,0,1.0,4,1,9,4,1,552,1480
0,115,236,3,0,26,1.0,3,3,9,4,1,391,1480
12,0,0,3,0,0,0.0,4,1,9,4,1,369,1480
8,163,7,3,0,16,0.0,0,0,9,4,1,320,1480
2,0,0,3,0,0,0.0,4,1,9,4,1,126,1480
4,0,0,3,0,0,1.0,4,1,9,4,1,120,1480
2,0,0,3,0,0,1.0,4,1,9,4,1,86,1480
0,64,40,1,0,7,0.0,4,2,10,4,1,633,1482
3,-105,-2,1,0,10,1.0,1,0,10,4,1,453,1482
0,106,154,1,0,18,,3,0,10,4,1,382,1482
5,0,0,1,0,0,1.0,4,1,10,4,1,352,1482
0,64,95,1,0,11,1.0,0,2,10,4,1,236,1482
0,106,154,1,0,18,,3,0,10,4,1,205,1482
0,-132,2,1,0,13,1.0,1,0,10,4,1,64,1482
0,73,17,3,0,7,0.0,4,2,10,4,1,653,1482
12,0,0,3,0,0,1.0,4,1,10,4,1,585,1482
0,115,137,3,0,17,,3,0,10,4,1,558,1482
0,-132,154,3,0,20,0.0,2,0,10,4,1,384,1482
2,0,0,3,0,0,1.0,4,1,10,4,1,358,1482
8,-141,-19,3,0,14,,1,0,10,4,1,192,1482
0,235,23,3,0,23,0.0,0,4,10,4,1,162,1482
0,28,175,3,0,17,1.0,4,0,10,4,1,21,1482
0,184,171,4,0,25,1.0,3,3,10,4,1,698,1482
3,127,61,4,0,14,0.0,0,0,10,4,1,590,1482
8,28,89,4,0,9,1.0,4,2,10,4,1,576,1482
0,-84,213,4,0,22,1.0,2,0,10,4,1,450,1482
3,-119,144,4,0,18,1.0,2,0,10,4,1,324,1482
3,0,110,1,0,11,0.0,4,2,3,4,0,625,1485
4,0,0,1,0,0,1.0,4,1,3,4,0,434,1485
0,127,80,1,0,15,0.0,0,0,3,4,0,377,1485
0,-143,219,1,0,26,1.0,2,3,3,4,0,344,1485
11,0,0,1,0,0,,4,1,3,4,0,317,1485
0,77,141,2,0,16,1.0,3,0,3,4,0,438,1485
3,-6,70,2,0,7,1.0,4,2,3,4,0,395,1485
0,98,141,2,0,17,,3,0,3,4,0,158,1485
4,0,0,2,0,0,1.0,4,1,3,4,0,128,1485
2,0,0,2,0,0,1.0,4,1,3,4,0,99,1485
0,144,215,2,0,25,1.0,3,3,3,4,0,36,1485
0,-63,177,3,0,18,0.0,2,0,3,4,0,684,1485
0,100,259,3,0,27,0.0,3,3,3,4,0,440,1485
8,-48,78,3,0,9,1.0,1,2,3,4,0,293,1485
0,153,198,3,0,25,0.0,3,3,3,4,0,222,1485
13,-56,21,3,0,5,1.0,4,2,3,4,0,135,1485
4,0,0,3,0,0,0.0,4,1,3,4,0,54,1485
0,201,11,4,0,20,1.0,0,0,3,4,0,667,1485
0,51,116,4,0,12,,4,2,3,4,0,639,1485
0,243,34,1,0,24,1.0,0,4,11,4,1,582,1486
0,123,232,1,0,26,1.0,3,3,11,4,1,300,1486
0,-157,137,1,0,20,1.0,2,0,11,4,1,210,1486
0,138,110,2,0,17,0.0,3,0,11,4,1,668,1486
0,102,137,2,0,17,0.0,3,0,11,4,1,520,1486
3,-65,106,2,0,12,,1,2,11,4,1,491,1486
8,-115,106,2,0,15,,1,0,11,4,1,371,1486
3,-86,55,2,0,10,,1,0,11,4,1,347,1486
0,186,17,2,0,18,0.0,0,0,11,4,1,227,1486
4,0,0,2,0,0,1.0,4,1,11,4,1,174,1486
7,0,0,3,0,0,1.0,4,1,11,4,1,502,1486
0,142,245,3,0,28,0.0,3,3,11,4,1,442,1486
0,-33,70,3,0,7,0.0,4,2,11,4,1,412,1486
0,-12,42,3,0,4,0.0,4,2,11,4,1,408,1486
0,121,104,3,0,15,0.0,0,0,11,4,1,298,1486
4,0,0,3,0,0,1.0,4,1,11,4,1,243,1486
0,79,163,3,0,18,0.0,3,0,11,4,1,198,1486
0,-94,0,3,0,9,0.0,1,0,11,4,1,177,1486
3,-124,135,3,0,18,1.0,2,0,11,4,1,139,1486
14,0,0,3,0,0,0.0,4,1,11,4,1,75,1486
0,108,409,3,0,42,0.0,5,3,11,4,1,0,1486
0,-67,135,4,0,15,0.0,4,2,11,4,1,632,1486
0,-160,224,4,0,27,1.0,2,3,11,4,1,606,1486
0,-117,217,4,0,24,,2,3,11,4,1,563,1486
0,-134,9,1,0,13,1.0,1,0,12,4,0,659,1488
0,-122,15,1,0,12,0.0,1,0,12,4,0,517,1488
0,-101,116,1,0,15,0.0,1,0,12,4,0,430,1488
3,-29,19,1,0,3,1.0,4,1,12,4,0,48,1488
0,-50,245,1,0,25,0.0,4,3,12,4,0,24,1488
0,-150,466,1,0,48,0.0,5,5,12,4,0,0,1488
2,-29,13,2,0,3,0.0,4,1,12,4,0,708,1488
0,-35,19,2,0,3,0.0,4,1,12,4,0,540,1488
0,-35,19,2,0,3,0.0,4,1,12,4,0,114,1488
0,167,184,2,0,24,,3,3,12,4,0,28,1488
0,129,19,3,0,13,,0,0,12,4,0,659,1488
7,0,0,3,0,0,1.0,4,1,12,4,0,577,1488
0,167,207,3,0,26,0.0,3,3,12,4,0,546,1488
7,0,0,3,0,0,1.0,4,1,12,4,0,422,1488
0,60,177,3,0,18,1.0,3,0,12,4,0,225,1488
4,0,0,3,0,0,1.0,4,1,12,4,0,88,1488
0,-86,253,1,0,26,0.0,2,3,5,4,1,574,1489
2,0,0,1,0,0,,4,1,5,4,1,494,1489
0,172,68,1,0,18,1.0,0,0,5,4,1,448,1489
0,-50,28,1,0,5,0.0,4,2,5,4,1,395,1489
0,-86,165,1,0,18,1.0,2,0,5,4,1,330,1489
0,-79,28,1,0,8,0.0,1,2,5,4,1,290,1489
1,0,0,1,0,0,1.0,4,1,5,4,1,244,1489
0,18,144,1,0,14,0.0,4,0,5,4,1,153,1489
0,123,55,1,0,13,0.0,0,0,5,4,1,120,1489
4,0,0,1,0,0,0.0,4,1,5,4,1,7,1489
0,-170,-15,2,0,17,0.0,1,0,5,4,1,280,1489
3,159,116,2,0,19,1.0,3,0,5,4,1,254,1489
3,-16,55,2,0,5,,4,2,5,4,1,194,1489
0,32,148,3,0,15,1.0,4,0,5,4,1,695,1489
0,26,68,3,0,7,,4,2,5,4,1,615,1489
0,5,198,3,0,19,0.0,4,0,5,4,1,550,1489
0,-149,247,3,0,28,0.0,2,3,5,4,1,387,1489
4,0,0,3,0,0,1.0,4,1,5,4,1,359,1489
0,-79,133,3,0,15,1.0,1,2,5,4,1,281,1489
0,-23,40,3,0,4,0.0,4,2,5,4,1,188,1489
0,66,154,3,0,16,1.0,3,0,5,4,1,37,1489
0,-86,257,3,0,27,1.0,2,3,5,4,1,0,1489
0,75,198,4,0,21,0.0,3,0,5,4,1,702,1489
7,0,0,4,0,0,1.0,4,1,5,4,1,660,1489
0,-58,68,4,0,8,1.0,1,2,5,4,1,582,1489
0,60,61,4,0,8,1.0,0,2,5,4,1,547,1489
0,117,253,4,0,27,1.0,3,3,5,4,1,454,1489
0,-50,17,4,0,5,0.0,4,2,5,4,1,409,1489
7,0,0,4,0,0,1.0,4,1,5,4,1,398,1489
0,18,209,4,0,20,0.0,4,0,5,4,1,240,1489
0,-136,160,4,0,20,1.0,2,0,5,4,1,51,1489
0,-16,181,1,0,18,,4,0,13,4,1,678,1491
0,60,127,1,0,14,1.0,4,2,13,4,1,626,1491
3,87,133,1,0,15,0.0,0,0,13,4,1,551,1491
3,39,82,1,0,9,1.0,4,2,13,4,1,514,1491
0,-149,2,1,0,14,0.0,1,0,13,4,1,406,1491
0,110,243,1,0,26,1.0,3,3,13,4,1,326,1491
0,110,13,1,0,11,1.0,0,0,13,4,1,89,1491
0,11,82,2,0,8,0.0,4,2,13,4,1,537,1491
0,-16,55,2,0,5,0.0,4,2,13,4,1,533,1491
0,237,2,2,0,23,0.0,0,4,13,4,1,528,1491
0,11,198,2,0,19,0.0,4,0,13,4,1,318,1491
0,-185,127,2,0,22,1.0,1,0,13,4,1,109,1491
1,0,0,2,0,0,0.0,4,1,13,4,1,70,1491
0,11,89,2,0,8,1.0,4,2,13,4,1,25,1491
0,18,160,2,0,16,0.0,4,0,13,4,1,0,1491
7,0,0,3,0,0,1.0,4,1,13,4,1,632,1491
0,-98,285,3,0,30,0.0,2,3,13,4,1,377,1491
0,-157,45,3,0,16,1.0,1,0,13,4,1,312,1491
0,-92,186,3,0,20,1.0,2,0,13,4,1,245,1491
0,-149,28,3,0,15,0.0,1,0,13,4,1,205,1491
3,75,28,3,0,8,1.0,0,2,13,4,1,183,1491
0,138,13,3,0,13,0.0,0,0,13,4,1,17,1491
9,0,0,3,0,0,1.0,4,1,13,4,1,0,1491
4,0,0,4,0,0,1.0,4,1,13,4,1,515,1491
3,-115,110,4,0,15,1.0,1,0,13,4,1,451,1491
4,0,0,4,0,0,,4,1,13,4,1,256,1491
4,0,0,4,0,0,,4,1,13,4,1,74,1491
3,-73,11,4,0,7,,4,2,13,4,1,41,1491
7,0,0,1,0,0,1.0,4,1,14,4,1,597,1493
3,-65,165,1,0,17,1.0,2,0,14,4,1,447,1493
3,81,133,1,0,15,1.0,0,0,14,4,1,408,1493
0,138,110,1,0,17,0.0,3,0,14,4,1,213,1493
0,117,247,1,0,27,,3,3,14,4,1,87,1493
0,231,394,1,0,45,0.0,3,3,14,4,1,0,1493
0,5,205,2,0,20,0.0,4,0,14,4,1,681,1493
0,-44,148,2,0,15,0.0,4,0,14,4,1,641,1493
4,18,23,2,0,2,1.0,4,1,14,4,1,566,1493
0,123,89,2,0,15,1.0,0,0,14,4,1,486,1493
0,-92,127,2,0,15,0.0,1,0,14,4,1,348,1493
4,0,0,2,0,0,1.0,4,1,14,4,1,323,1493
0,32,257,2,0,25,0.0,4,3,14,4,1,220,1493
0,33,78,2,0,8,0.0,4,2,14,4,1,154,1493
0,-212,64,2,0,22,0.0,1,0,14,4,1,0,1493
0,123,148,3,0,19,0.0,3,0,14,4,1,567,1493
2,0,0,3,0,0,0.0,4,1,14,4,1,561,1493
0,-122,137,3,0,18,1.0,2,0,14,4,1,396,1493
3,123,-15,3,0,12,1.0,0,0,14,4,1,286,1493
0,-149,-15,3,0,14,1.0,1,0,14,4,1,256,1493
0,237,40,4,0,24,1.0,0,4,14,4,1,686,1493
0,-1,160,4,0,16,0.0,4,0,14,4,1,613,1493
0,-176,-15,4,0,17,0.0,1,0,14,4,1,395,1493
2,0,0,4,0,0,1.0,4,1,14,4,1,364,1493
0,39,192,4,0,19,1.0,4,0,14,4,1,302,1493
0,153,181,4,0,23,,3,0,14,4,1,256,1493
7,0,0,4,0,0,1.0,4,1,14,4,1,84,1493
3,60,17,4,0,6,1.0,4,2,14,4,1,38,1493
0,150,116,1,0,18,1.0,3,0,9,4,0,701,1494
0,102,160,1,0,18,0.0,3,0,9,4,0,654,1494
9,0,0,1,0,0,0.0,4,1,9,4,0,447,1494
0,-4,167,1,0,16,1.0,4,0,9,4,0,277,1494
0,-168,-21,1,0,16,0.0,1,0,9,4,0,218,1494
0,1,49,1,0,4,0.0,4,2,9,4,0,190,1494
0,144,0,1,0,14,1.0,0,0,9,4,0,126,1494
0,-147,0,1,0,14,,1,0,9,4,0,0,1494
0,-31,61,2,0,6,0.0,4,2,9,4,0,605,1494
2,0,0,2,0,0,1.0,4,1,9,4,0,540,1494
8,180,4,2,0,18,1.0,0,0,9,4,0,477,1494
0,159,0,2,0,15,0.0,0,0,9,4,0,362,1494
4,0,0,2,0,0,0.0,4,1,9,4,0,74,1494
8,-60,66,2,0,8,,1,2,9,4,0,33,1494
2,-18,21,2,0,2,0.0,4,1,9,4,0,7,1494
5,0,0,3,0,0,1.0,4,1,9,4,0,700,1494
0,231,-4,3,0,23,1.0,0,4,9,4,0,659,1494
0,-39,21,3,0,4,0.0,4,2,9,4,0,508,1494
2,0,0,3,0,0,,4,1,9,4,0,505,1494
0,96,228,3,0,24,,3,3,9,4,0,397,1494
0,96,139,3,0,16,1.0,3,0,9,4,0,211,1494
0,-60,167,3,0,17,0.0,2,0,9,4,0,154,1494
0,-231,-4,3,0,23,1.0,1,6,9,4,0,29,1494
3,1,78,4,0,7,1.0,4,2,9,4,0,455,1494
0,-231,4,4,0,23,0.0,1,6,9,4,0,355,1494
0,-225,-21,4,0,22,0.0,1,6,9,4,0,222,1494
0,-73,78,4,0,10,1.0,1,2,9,4,0,129,1494
